word,zipf
affiliation,4.06
affiliations,3.6
affine,2.99
affinities,2.71
affinity,3.74
affirm,3.46
affirmance,2.04
affirmation,3.24
affirmations,2.88
affirmative,3.83
affirmatively,2.63
affirmed,3.54
affirming,3.12
affirms,3.04
affix,2.88
affixation,1.42
affixed,3.13
affixes,2.25
affixing,2.26
afflict,2.46
afflicted,3.17
afflicting,2.23
affliction,2.97
afflictions,2.58
afflicts,2.24
affluence,2.67
affluent,3.21
afford,4.25
affordability,3.35
affordable,4.57
affordably,2.73
afforded,3.51
affording,2.81
affords,3.16
afforestation,2.51
afforested,1.35
affray,1.69
affricate,1.44
affright,1.64
affrighted,1.67
affront,2.58
affronted,1.78
affronts,1.58
afghan,3.78
afghani,2.89
afghanis,1.99
afghans,3.07
aficionado,2.74
aficionados,2.7
afield,2.86
afire,2.29
aflame,2.3
aflatoxin,2.49
aflatoxins,2.01
afloat,3.04
aflutter,1.41
afoot,2.79
afore,2.51
aforementioned,3.45
aforesaid,3.18
aforethought,1.93
afoul,2.43
afraid,4.27
afresh,2.56
afro,3.57
aft,3.46
after,5.8
afterbirth,1.74
afterburner,2.5
afterburners,1.76
aftercare,2.85
aftereffect,1.55
aftereffects,2.12
afterglow,2.8
afterglows,1.52
afterimage,2.41
afterlife,3.05
aftermarket,3.63
aftermath,3.71
afternoon,4.5
afternoons,3.17
afters,1.96
aftershave,3.03
aftershaves,2.91
aftershock,2.77
aftershocks,2.4
aftertaste,2.55
afterthought,2.69
afterthoughts,2.0
afterward,3.43
afterwards,4.0
afterword,2.45
afterwords,1.89
ag,4.49
aga,3.3
again,5.41
against,5.4
agalloch,1.48
agama,2.07
agammaglobulinemia,1.68
agapanthus,1.99
agape,2.85
agar,3.22
agaric,1.73
agarose,2.86
agate,3.18
agates,2.06
agave,2.73
agaves,1.47
age,5.35
aged,4.49
agee,2.63
ageing,3.59
ageism,2.34
ageist,1.54
ageless,2.83
agencies,4.9
agency,5.13
agenda,4.61
agendas,3.66
agendum,1.69
agenesis,2.03
agent,4.99
agentive,1.44
agents,4.93
ager,2.78
ageratum,1.63
agers,2.49
ages,4.62
agger,1.67
aggie,3.02
aggies,3.21
aggiornamento,2.29
agglomerate,1.76
agglomerated,1.76
agglomerates,1.71
agglomeration,2.62
agglomerations,2.05
agglomerative,1.53
agglutinated,1.41
agglutination,2.32
agglutinin,2.05
agglutinins,1.69
aggradation,1.48
aggrandised,1.69
aggrandize,1.45
aggrandizement,2.05
aggrandizing,1.84
aggravate,2.68
aggravated,3.37
aggravates,2.19
aggravating,2.95
aggravation,2.79
aggravations,1.55
aggregate,4.16
aggregated,3.4
aggregates,3.42
aggregating,2.84
aggregation,3.65
aggregations,2.48
aggregative,1.45
aggression,3.64
aggressions,2.05
aggressive,4.1
aggressively,3.42
aggressiveness,2.67
aggressor,2.74
aggressors,2.39
aggrieved,2.95
aggro,2.46
agha,2.36
aghast,2.49
agile,3.49
agility,3.49
agin,2.33
aging,4.31
agio,2.04
agios,2.59
agitate,2.34
agitated,2.98
agitates,1.74
agitating,2.34
agitation,3.18
agitations,1.68
agitato,1.55
agitator,2.8
agitators,2.38
agitprop,2.29
aglet,1.56
aglow,2.27
agma,1.93
agnosia,1.7
agnostic,3.06
agnosticism,2.61
agnostics,2.22
ago,5.23
agog,2.01
agon,2.23
agonies,2.16
agonised,1.55
agonising,2.02
agonist,3.21
agonistic,1.99
agonists,2.98
agonize,1.89
agonized,2.14
agonizing,2.68
agonizingly,1.83
agony,3.42
agora,3.13
agoraphobia,2.43
agoraphobic,2.01
agoras,1.62
agouti,2.13
agranulocytosis,1.9
agrarian,3.02
agree,4.91
agreeable,3.15
agreeableness,1.65
agreeably,2.17
agreed,4.69
agreeing,3.69
agreement,5.28
agreements,4.48
agrees,4.09
agribusiness,3.25
agribusinesses,1.78
agrichemical,1.59
agricultural,4.62
agriculturalists,1.73
agriculturally,2.07
agriculture,4.7
agriculturist,1.83
agriculturists,1.81
agrimony,1.83
agrochemical,2.1
agrochemicals,2.34
agroforestry,2.73
agronomic,2.64
agronomist,2.26
agronomists,1.89
agronomy,2.95
aground,2.44
ague,2.16
ah,4.36
aha,3.41
ahead,4.68
ahem,3.03
ahi,2.66
ahimsa,2.2
ahistorical,1.76
ahold,2.7
ahoy,2.88
ahs,2.93
ai,4.32
aid,4.93
aide,3.75
aided,3.75
aider,2.38
aiders,1.9
aides,3.44
aiding,3.23
aids,4.75
aiguille,1.93
aiguilles,1.6
aikido,3.17
ail,2.86
ailanthus,1.59
ailed,1.55
aileron,2.41
ailerons,2.14
ailing,3.02
ailment,2.74
ailments,3.19
ails,2.43
aim,4.69
aimed,4.23
aimer,2.22
aiming,3.6
aimless,2.52
aimlessly,2.55
aimlessness,1.34
aims,4.33
ain,3.27
ains,1.87
aioli,2.16
air,5.44
airbag,3.26
airbags,3.17
airboat,2.25
airboats,1.71
airborne,3.76
airbrush,3.22
airbrushed,2.4
airbrushes,2.22
airbrushing,2.38
airburst,1.34
airbus,3.39
aircheck,1.62
airchecks,1.62
aircraft,4.62
aircrew,2.61
aircrews,1.91
airdate,2.43
airdates,1.66
airdrop,1.86
aired,3.56
airer,1.79
airfare,4.09
airfares,3.75
airfield,3.21
airfields,2.61
airflow,3.25
airflows,1.44
airfoil,2.59
airfoils,2.07
airframe,2.87
airframes,2.13
airfreight,2.3
airglow,1.78
airhead,2.46
airheaded,2.03
airheads,2.0
airily,1.6
airiness,1.35
airing,3.2
airings,1.93
airless,2.46
airlift,2.88
airlifted,2.23
airlifting,1.39
airlifts,1.46
airlike,1.68
airline,4.5
airliner,2.83
airliners,2.72
airlines,4.47
airmail,3.65
airman,3.09
airmen,2.94
